"country","col.belgium","col.britain","col.france","col.germany","col.italy","col.netherlands","col.portugal","col.spain","colstart.belgium_max","colstart.britain_max","colstart.france_max","colstart.germany_max","colstart.italy_max","colstart.netherlands_max","colstart.portugal_max","colstart.spain_max","colend.belgium_max","colend.britain_max","colend.france_max","colend.germany_max","colend.italy_max","colend.netherlands_max","colend.portugal_max","colend.spain_max","colstart.belgium_mean","colstart.britain_mean","colstart.france_mean","colstart.germany_mean","colstart.italy_mean","colstart.netherlands_mean","colstart.portugal_mean","colstart.spain_mean","colend.belgium_mean","colend.britain_mean","colend.france_mean","colend.germany_mean","colend.italy_mean","colend.netherlands_mean","colend.portugal_mean","colend.spain_mean"
"Lesotho",0,1,0,0,0,0,0,0,NA,1884,NA,NA,NA,NA,NA,NA,NA,1966,NA,NA,NA,NA,NA,NA,NA,1874,NA,NA,NA,NA,NA,NA,NA,1966,NA,NA,NA,NA,NA,NA
"Liberia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Libya",0,1,0,0,1,0,0,0,NA,1946,NA,NA,1912,NA,NA,NA,NA,1952,NA,NA,1942,NA,NA,NA,NA,1946,NA,NA,1912,NA,NA,NA,NA,1952,NA,NA,1942,NA,NA,NA
"Liechtenstein",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",0,0,1,0,0,0,0,0,NA,NA,1895,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1890,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
"Malawi",0,1,0,0,0,0,0,0,NA,1891,NA,NA,NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,NA,NA,NA,1891,NA,NA,NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,NA,NA
"Malaysia",0,1,0,0,0,0,1,0,NA,1888,NA,NA,NA,NA,1511,NA,NA,1963,NA,NA,NA,NA,1641,NA,NA,1847,NA,NA,NA,NA,1511,NA,NA,1958,NA,NA,NA,NA,1641,NA
"Maldives",0,1,0,0,0,0,0,0,NA,1887,NA,NA,NA,NA,NA,NA,NA,1965,NA,NA,NA,NA,NA,NA,NA,1887,NA,NA,NA,NA,NA,NA,NA,1965,NA,NA,NA,NA,NA,NA
"Mali",0,0,1,0,0,0,0,0,NA,NA,1904,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1897,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
"Malta",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall Islands",0,1,0,1,0,0,0,0,NA,1886,NA,1885,NA,NA,NA,NA,NA,1885,NA,1914,NA,NA,NA,NA,NA,1886,NA,1885,NA,NA,NA,NA,NA,1885,NA,1914,NA,NA,NA,NA
"Mauritania",0,0,1,0,0,0,0,1,NA,NA,1903,NA,NA,NA,NA,1884,NA,NA,1960,NA,NA,NA,NA,1975,NA,NA,1882,NA,NA,NA,NA,1884,NA,NA,1960,NA,NA,NA,NA,1975
"Mauritius",0,1,1,0,0,0,0,0,NA,1810,1715,NA,NA,NA,NA,NA,NA,1968,1810,NA,NA,NA,NA,NA,NA,1810,1715,NA,NA,NA,NA,NA,NA,1968,1810,NA,NA,NA,NA,NA
"Mexico",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1521,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1520,NA,NA,NA,NA,NA,NA,NA,1821
"Micronesia (Federated States of)",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA,NA,1899,NA,NA,NA,NA,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA,NA,1899
"Moldova",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",0,0,1,0,0,0,0,1,NA,NA,1912,NA,NA,NA,NA,1884,NA,NA,1956,NA,NA,NA,NA,1975,NA,NA,1912,NA,NA,NA,NA,1884,NA,NA,1956,NA,NA,NA,NA,1975
"Mozambique",0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1885,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,1695,NA,NA,NA,NA,NA,NA,NA,1974,NA
"Myanmar (Burma)",0,1,0,0,0,0,0,0,NA,1886,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,NA,NA,1879,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,NA
"Namibia",0,1,0,1,0,0,0,0,NA,1915,NA,1885,NA,NA,NA,NA,NA,1920,NA,1915,NA,NA,NA,NA,NA,1915,NA,1882,NA,NA,NA,NA,NA,1920,NA,1914,NA,NA,NA,NA
"Nauru",0,1,0,1,0,0,0,0,NA,1914,NA,1888,NA,NA,NA,NA,NA,1968,NA,1914,NA,NA,NA,NA,NA,1914,NA,1888,NA,NA,NA,NA,NA,1944,NA,1914,NA,NA,NA,NA
"Nepal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",0,1,0,0,0,0,0,0,NA,1840,NA,NA,NA,NA,NA,NA,NA,1920,NA,NA,NA,NA,NA,NA,NA,1840,NA,NA,NA,NA,NA,NA,NA,1909,NA,NA,NA,NA,NA,NA
"Nicaragua",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1523,NA,NA,NA,NA,NA,NA,NA,1821
"Niger",0,0,1,0,0,0,0,0,NA,NA,1922,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1910,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
"Nigeria",0,1,0,0,0,0,0,0,NA,1899,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1874,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA
"North Korea",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oman",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan",0,1,0,0,0,0,0,0,NA,1857,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA,NA,1830,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA
"Palau",0,0,0,1,0,0,0,1,NA,NA,NA,1885,NA,NA,NA,1886,NA,NA,NA,1914,NA,NA,NA,1899,NA,NA,NA,1885,NA,NA,NA,1886,NA,NA,NA,1914,NA,NA,NA,1899
"Panama",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1519,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1514,NA,NA,NA,NA,NA,NA,NA,1820
"Papua New Guinea",0,1,0,0,0,0,0,0,NA,1884,NA,NA,NA,NA,NA,NA,NA,1920,NA,NA,NA,NA,NA,NA,NA,1884,NA,NA,NA,NA,NA,NA,NA,1912,NA,NA,NA,NA,NA,NA
"Paraguay",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1537,NA,NA,NA,NA,NA,NA,NA,1811,NA,NA,NA,NA,NA,NA,NA,1537,NA,NA,NA,NA,NA,NA,NA,1811
"Peru",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1533,NA,NA,NA,NA,NA,NA,NA,1824,NA,NA,NA,NA,NA,NA,NA,1532,NA,NA,NA,NA,NA,NA,NA,1823
"Philippines",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1565,NA,NA,NA,NA,NA,NA,NA,1898,NA,NA,NA,NA,NA,NA,NA,1565,NA,NA,NA,NA,NA,NA,NA,1898
"Poland",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portugal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Qatar",0,1,0,0,0,0,0,0,NA,1916,NA,NA,NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,NA,NA,NA,1914,NA,NA,NA,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA
"Romania",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rwanda",1,0,0,1,0,0,0,0,1922,NA,NA,1899,NA,NA,NA,NA,1962,NA,NA,1915,NA,NA,NA,NA,1919,NA,NA,1894,NA,NA,NA,NA,1962,NA,NA,1915,NA,NA,NA,NA
"Samoa",0,1,0,1,0,0,0,0,NA,1914,NA,1900,NA,NA,NA,NA,NA,1920,NA,1914,NA,NA,NA,NA,NA,1914,NA,1900,NA,NA,NA,NA,NA,1920,NA,1914,NA,NA,NA,NA
"San Marino",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"São Tomé & Príncipe",0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1522,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,1522,NA,NA,NA,NA,NA,NA,NA,1975,NA
"Saudi Arabia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senegal",0,1,1,0,0,0,0,0,NA,1693,1854,NA,NA,NA,NA,NA,NA,1817,1960,NA,NA,NA,NA,NA,NA,1693,1770,NA,NA,NA,NA,NA,NA,1817,1960,NA,NA,NA,NA,NA
"Serbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seychelles",0,1,1,0,0,0,0,0,NA,1814,1756,NA,NA,NA,NA,NA,NA,1976,1794,NA,NA,NA,NA,NA,NA,1814,1756,NA,NA,NA,NA,NA,NA,1976,1794,NA,NA,NA,NA,NA
"Sierra Leone",0,1,0,0,0,0,0,0,NA,1896,NA,NA,NA,NA,NA,NA,NA,1961,NA,NA,NA,NA,NA,NA,NA,1838,NA,NA,NA,NA,NA,NA,NA,1961,NA,NA,NA,NA,NA,NA
"Singapore",0,1,0,0,0,0,0,0,NA,1826,NA,NA,NA,NA,NA,NA,NA,1963,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1961,NA,NA,NA,NA,NA,NA
"Slovakia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovenia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solomon Islands",0,1,0,1,0,0,0,0,NA,1893,NA,1885,NA,NA,NA,NA,NA,1978,NA,1918,NA,NA,NA,NA,NA,1893,NA,1885,NA,NA,NA,NA,NA,1978,NA,1918,NA,NA,NA,NA
"Somalia",0,1,0,0,1,0,0,0,NA,1888,NA,NA,1905,NA,NA,NA,NA,1960,NA,NA,1936,NA,NA,NA,NA,1885,NA,NA,1905,NA,NA,NA,NA,1956,NA,NA,1936,NA,NA,NA
"South Africa",0,1,0,0,0,1,0,0,NA,1814,NA,NA,NA,1652,NA,NA,NA,1920,NA,NA,NA,1806,NA,NA,NA,1801,NA,NA,NA,1652,NA,NA,NA,1912,NA,NA,NA,1806,NA,NA
"South Korea",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Sudan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sri Lanka",0,1,0,0,0,0,1,0,NA,1798,NA,NA,NA,NA,1619,NA,NA,1948,NA,NA,NA,NA,1656,NA,NA,1797,NA,NA,NA,NA,1619,NA,NA,1948,NA,NA,NA,NA,1656,NA
"St. Kitts & Nevis",0,1,0,0,0,0,0,0,NA,1623,NA,NA,NA,NA,NA,NA,NA,1983,NA,NA,NA,NA,NA,NA,NA,1623,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA
"St. Lucia",0,1,1,0,0,0,0,0,NA,1814,1650,NA,NA,NA,NA,NA,NA,1979,1814,NA,NA,NA,NA,NA,NA,1814,1650,NA,NA,NA,NA,NA,NA,1973,1814,NA,NA,NA,NA,NA
"St. Vincent & Grenadines",0,1,0,0,0,0,0,0,NA,1762,NA,NA,NA,NA,NA,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,1762,NA,NA,NA,NA,NA,NA,NA,1974,NA,NA,NA,NA,NA,NA
"Sudan",0,1,0,0,0,0,0,0,NA,1898,NA,NA,NA,NA,NA,NA,NA,1956,NA,NA,NA,NA,NA,NA,NA,1898,NA,NA,NA,NA,NA,NA,NA,1956,NA,NA,NA,NA,NA,NA
"Suriname",0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,1667,NA,NA,NA,NA,NA,NA,NA,1974,NA,NA,NA,NA,NA,NA,NA,1642,NA,NA,NA,NA,NA,NA,NA,1964,NA,NA
"Swaziland",0,1,0,0,0,0,0,0,NA,1903,NA,NA,NA,NA,NA,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,1897,NA,NA,NA,NA,NA,NA,NA,1968,NA,NA,NA,NA,NA,NA
"Sweden",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syria",0,0,1,0,0,0,0,0,NA,NA,1923,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,NA,NA,NA,1922,NA,NA,NA,NA,NA,NA,NA,1944,NA,NA,NA,NA,NA
"Taiwan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanzania",0,1,0,1,0,0,0,0,NA,1918,NA,1891,NA,NA,NA,NA,NA,1963,NA,1917,NA,NA,NA,NA,NA,1912,NA,1888,NA,NA,NA,NA,NA,1961,NA,1916,NA,NA,NA,NA
"Thailand",0,0,1,0,0,0,0,0,NA,NA,1867,NA,NA,NA,NA,NA,NA,NA,1941,NA,NA,NA,NA,NA,NA,NA,1867,NA,NA,NA,NA,NA,NA,NA,1941,NA,NA,NA,NA,NA
"Timor-Leste",0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1642,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,1642,NA,NA,NA,NA,NA,NA,NA,1975,NA
"Togo",0,0,1,1,0,0,0,0,NA,NA,1922,1885,NA,NA,NA,NA,NA,NA,1960,1916,NA,NA,NA,NA,NA,NA,1922,1884,NA,NA,NA,NA,NA,NA,1960,1914,NA,NA,NA,NA
"Tonga",0,1,0,0,0,0,0,0,NA,1900,NA,NA,NA,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA
"Trinidad & Tobago",0,1,0,0,0,0,0,1,NA,1797,NA,NA,NA,NA,NA,1592,NA,1962,NA,NA,NA,NA,NA,1797,NA,1797,NA,NA,NA,NA,NA,1592,NA,1962,NA,NA,NA,NA,NA,1797
"Tunisia",0,0,1,0,0,0,0,0,NA,NA,1881,NA,NA,NA,NA,NA,NA,NA,1956,NA,NA,NA,NA,NA,NA,NA,1877,NA,NA,NA,NA,NA,NA,NA,1956,NA,NA,NA,NA,NA
"Turkey",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkmenistan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuvalu",0,1,0,0,0,0,0,0,NA,1892,NA,NA,NA,NA,NA,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,NA,NA,1978,NA,NA,NA,NA,NA,NA
"Uganda",0,1,0,0,0,0,0,0,NA,1894,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA
"Ukraine",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates",0,1,0,0,0,0,0,0,NA,1892,NA,NA,NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,NA,NA
"United Kingdom",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",0,1,0,0,0,0,0,0,NA,1607,NA,NA,NA,NA,NA,NA,NA,1783,NA,NA,NA,NA,NA,NA,NA,1607,NA,NA,NA,NA,NA,NA,NA,1781,NA,NA,NA,NA,NA,NA
"Uruguay",0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1680,1625,NA,NA,NA,NA,NA,NA,1822,1828,NA,NA,NA,NA,NA,NA,1680,1590,NA,NA,NA,NA,NA,NA,1822,1823
"Uzbekistan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vanuatu",0,1,1,0,0,0,0,0,NA,1906,1887,NA,NA,NA,NA,NA,NA,1980,1980,NA,NA,NA,NA,NA,NA,1906,1887,NA,NA,NA,NA,NA,NA,1980,1980,NA,NA,NA,NA,NA
"Venezuela",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1556,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1534,NA,NA,NA,NA,NA,NA,NA,1820
"Vietnam",0,0,1,0,0,0,0,0,NA,NA,1887,NA,NA,NA,NA,NA,NA,NA,1954,NA,NA,NA,NA,NA,NA,NA,1869,NA,NA,NA,NA,NA,NA,NA,1951,NA,NA,NA,NA,NA
"Yemen",0,1,0,0,0,0,0,0,NA,1959,NA,NA,NA,NA,NA,NA,NA,1967,NA,NA,NA,NA,NA,NA,NA,1879,NA,NA,NA,NA,NA,NA,NA,1967,NA,NA,NA,NA,NA,NA
"Zambia",0,1,0,0,0,0,0,0,NA,1923,NA,NA,NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,NA,NA
"Zimbabwe",0,1,0,0,0,0,0,0,NA,1923,NA,NA,NA,NA,NA,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA
